Name,CLIENTS,BALANCED CLIENTS,Picture,Total Revenue,Payment for clients total,Total Ajustes,VENDOR,Type,SUM Due Balanced,SUM Partial Balanced,SUM On time Balanced,SUM Pre Paid Balanced,Credit Limit (from Client list Link),Credit Avalible,SUM Final due balance,INTRA per Client,Balanced + Intra,Debt,Debt INTRA,Frozen Balanced Clients,Active clients,Cashflow,Payments in Transit
ANI TRANSPORT  FREIGHT,,$123594.88,,$123594.88,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$123594.88,$0.00,,$123594.88,Debt,Debt,,,,$0.00
LUXEMBORG,,$15663.78,,$15663.78,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$15663.78,$0.00,,$15663.78,Debt,Debt,,,,$0.00
BRAVE HEARTS,,$0.00,,$0.00,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,,$0.00,To pay,To pay,,,,$0.00
New Lion,,$214736.65,,$214736.65,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$214736.65,$0.00,,$214736.65,Debt,Debt,,,,$0.00
FELIX,FELIX,$0.00,6SWtSUgwpTAj6Jrg6MYIZhBnAzy_BbPLaCUGbtZB7a8.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/g3R197Oi5xjg1xyAn4Natw/X7fGrlGJrWE7rxVEe9-lm4QVn1hYSuneEs7QUoJIWIvFw9egdlTShq9XmgUnzpk2bN-2Ab2gFr4qSavjVHJx7XhbP44sftujuhWQqHHqExbhAuxQRiz68BtbQL-fX7mJadW7h9ZMPXIgK9csd67qOEF2SESoIsNULiieuuDWxlerXE7JPki6IAuB4FFxxeVInemJ9d3UUbg24doYtocNVw/KQ5WMDVbxURuNmez-J8CNnCmtkCzeTv95UAHSWYsyoQ),$0.00,$0.00,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,,$0.00,To pay,To pay,,,,$0.00
Alexis Supplier,,$168450.24,,$168450.24,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$168450.24,$0.00,,$168450.24,Debt,Debt,,,,$0.00
ALPHA,ALPHA,$762710.25,Imagen de WhatsApp 2024-10-15 a las 11.29.07_0de710b3.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/SiUTzHC4o0yWF5jOJnblpQ/t7a61dIXuvN69JvT_ozLLm1ouWbZHK9ExrWlvloBmrntv9MSNfySZmpajcxtJZ73wstSEDgNs4vOd5XTYdWjflZVfSFF94IeKJkrPlWWs2SnZaAnt1nuzO6MJ6tQeDBBHj7el2kOdhJJn5vpu_1NVzsn_xG1E6kFHNRUYt3J3NUcaxAPS1ROBSdzfMlqRORoH-Nj2lLEyswdnhvCl_aoRA/NO5WkBOoWr79PPBn_78Zs1bUjxuW4xhT5lRgYARjwCA),$192012976.67,-$190664404.06,-$585862.36,,Client,$0.00,$0.00,$0.00,$0.00,$1500000.00,$737289.75,$0.00,$0.00,$762710.25,Debt,Debt,$762710.25,Active,1/15/2025,$0.00
CAMPER,CAMPER,$59967.95,Camper.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/whwuyU0nO7qACBbr2FUtpQ/YWQRN6-x3Ntna6QumyibXgrNYGoEshQWEbGZcHPoO6y1PWm5nYtetOIA97QZVQWXEztsx7B_YVgKLWDWWt8S0c8rBOKXYkY24I9jNjHI_VqMuB7Q5Pj32HUXQdpZc93bBpC05A_lm5pSpxRBPq2hIh53jGlclwObv8h099hDamg/qpox41QqwEUOHboI1jn8gS87NQjLjNyOdQ8sG_XYTnQ),$67107241.32,-$66600173.37,-$447100.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,-$49967.95,$0.00,$0.00,$59967.95,Debt,Debt,$59967.95,Active,1/15/2025,$0.00
CIAY,CIAY,$1236.44,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),$45470155.22,-$42558723.08,-$2910195.70,,Client,$18462.87,$2230.51,$0.00,$0.00,$10000.00,$8763.56,$20693.38,$0.00,$1236.44,Debt,Debt,$1236.44,Active,1/15/2025,$0.00
DDP,DDP,-$17793.34,,$3449712.16,-$3523252.85,$55747.35,,Client,$0.00,$0.00,$0.00,-$23654.58,$10000.00,$27793.34,$0.00,$0.00,-$17793.34,To pay,To pay,-$17793.34,Active,1/15/2025,$0.00
ENERGAX,ENERGAX,-$0.00,image (22).png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/liId-F7pEgBqlaL-86iZZw/KcwXQi_2ArvmC0YiUWCZ2C1-Q-QvYaL2zf2PmEvXqXrNbx5pSAUr-haKz0U_LFeKO1LnDyANurTPijIj6YB5o6V4-ZyvtkuW2J8cUjtolQsEhtH2CDZ3c7CGcjK_OCHSl5tZdYWsdatrdJ2F3f5j5K7WcY9B6kDoxaVlUeOC0Qk/aByVZ0KcWPoI1Cett9V505CK4W6V4IXJIEjGD8-0zcs),$14274755.24,-$14173122.78,-$101632.46,,Client,$25434.00,$15325.50,$0.00,$0.00,$10000.00,$10000.00,$40759.49,$0.00,-$0.00,To pay,To pay,-$0.00,Active,1/15/2025,$0.00
GANDARA,GANDARA,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),$23120068.36,-$22953704.48,-$166363.88,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,$0.00,To pay,To pay,$0.00,Active,1/15/2025,$0.00
PETROJAF,PETROJAF,$59.49,Petrojaf.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/dtb8dbYmXOTXzBrMzN0E3Q/wVyMSVf42ppPad5MyT2UIi9tdyhP3CyFd6_0Uh5goTb_6jpVCxUZHodDen5zG218K9PbqurE405jdvjpzinVAvb01cbbfNfg2Ni11TNKyOgumrLz94EuILddN523Aw6c6FH52HxbMBsMLLB3kgXUKZVWI3jpqUZftD-vlKZHOIo/yBEJuYsIv7n6gYWMVRi9U5rIBRHDH3YTKJGXZ46Az9g),$34000725.13,-$33669897.31,-$330768.33,,Client,$0.00,$0.00,$0.00,-$0.00,$10000.00,$9940.51,$0.00,$0.00,$59.49,Debt,Debt,$59.49,Active,1/15/2025,$0.00
PETROJAF NAPHTHA,PETROJAF NAPHTHA,$0.00,Petrojaf (1).png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/SLk4n84d_6j1rRl-nisyBw/zli0Tn359_rCE66O6BM-HBdnTAc-zTX9qUAU5GFvK5XpzTn6wchgmKgPww1qodyUdtakBVASOnDHRv5HUxqceqfQWohq9bVe2diByRChLHfeBgx5Nugn02ttMpAQLK4J-aw-e4TR42gKQrOBxo6Epzmn6Yqb5TNulTJDnx3Qd6w/X6phUZhnAW1JQOzrBjMC651zB1zk-2LoRYBhqdj9riY),$10653685.41,-$10637420.99,-$16264.42,,Client,$0.00,$0.00,$0.00,$0.00,$0.00,-$0.00,$0.00,$0.00,$0.00,To pay,To pay,$0.00,Active,1/15/2025,$0.00
PETROQUIRSAN,PETROQUIRSAN,-$28792.33,Petroquirsan.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/IA8rQjv5OVRhr4lDg0adpw/3l-MkcYzkZEwte6QSErYrZgiBeAOQY1XKHa0LptZXndmdsVRy02Scu98gZWbJkjwOuU46bf1mW299uhhh2YuC5TkUIEM_iGVff7orlEw6sVVMWmKtTo8_ZIiX2_rE4lXhjeYOUngR8eTIOQmfk3qQqez5pmJkZp54DT3ps8_3mU/30LG-Hl2f0qXqr7By7vs_yHx31AReTW9NK2vGZXuY9M),$5188799.16,-$5217591.49,$0.00,,Client,$0.00,$0.00,$0.00,-$0.01,$10000.00,$38792.33,$0.00,$0.00,-$28792.33,To pay,To pay,-$28792.33,Active,1/15/2025,$0.00
